subj,task,attach_site,itemN,rt
29,window,low,21,988.7
29,window,low,22,1048.6
29,window,low,23,655.8
29,window,low,24,536.5
29,window,high,1,372.2
29,window,high,2,579.5
29,window,high,3,711.5
29,window,high,4,805
29,window,high,5,2110.5
29,window,high,6,2316.4
29,window,high,7,984.2
29,window,high,8,486.2
29,window,high,9,849.2
29,window,high,10,861.1
29,window,high,11,844.8
29,window,high,12,2081.8
30,window,low,13,304.2
30,window,low,14,276.4
30,window,low,15,405.5
30,window,low,16,359.6
30,window,low,17,279.7
30,window,low,18,221.1
30,window,low,19,283.1
30,window,low,20,549.3
30,window,low,21,264.7
30,window,low,22,299.6
30,window,low,23,307.1
30,window,low,24,280
30,window,high,1,299.6
30,window,high,2,313
30,window,high,3,253.6
30,window,high,4,439.5
30,window,high,5,351.2
30,window,high,6,295.3
30,window,high,7,319.9
30,window,high,8,323.5
30,window,high,9,574.8
30,window,high,10,574.8
30,window,high,11,331.4
30,window,high,12,382.4
31,window,low,13,1084.8
31,window,low,14,2057.7
31,window,low,15,1353.6
31,window,low,16,589.3
31,window,low,17,976.5
31,window,low,18,1731.5
31,window,low,19,1113.9
31,window,low,20,484.6
31,window,low,21,762
31,window,low,22,404.7
31,window,low,23,1262.7
31,window,low,24,567.6
31,window,high,1,455.6
31,window,high,2,714
31,window,high,3,671.5
31,window,high,4,1043.1
31,window,high,5,2558.3
31,window,high,6,2150
31,window,high,7,531.2
31,window,high,8,863.5
31,window,high,9,938.8
31,window,high,10,709.1
31,window,high,11,433.5
31,window,high,12,1102.9
32,window,low,13,185.6
32,window,low,14,239.7
32,window,low,15,209.8
32,window,low,16,192.2
32,window,low,17,359.9
32,window,low,18,552.1
32,window,low,19,1059.6
32,window,low,20,320.3
32,window,low,21,276.4
32,window,low,22,263.7
32,window,low,23,343.1
32,window,low,24,204.9
32,window,high,1,335.4
32,window,high,2,217.2
32,window,high,3,175
32,window,high,4,432.4
32,window,high,5,849
32,window,high,6,984.1
32,window,high,7,413.4
32,window,high,8,238.9
32,window,high,9,924.1
32,window,high,10,378.4
32,window,high,11,199.8
32,window,high,12,230.1
33,maze,low,1,652.4
33,maze,low,2,771.9
33,maze,low,5,866.2
33,maze,low,6,869.7
33,maze,low,7,624.5
33,maze,low,8,559.3
33,maze,low,9,786.9
33,maze,low,10,733.2
33,maze,low,11,526.5
33,maze,low,12,650.1
33,maze,high,13,1168.5
33,maze,high,14,614.3
33,maze,high,15,1430.9
33,maze,high,16,574.8
33,maze,high,17,1430.9
33,maze,high,18,871.5
33,maze,high,19,1268.3
33,maze,high,20,662
33,maze,high,21,878.9
33,maze,high,22,778.6
33,maze,high,23,825.4
33,maze,high,24,776
34,maze,low,1,1018.6
34,maze,low,2,752.1
34,maze,low,3,894.3
34,maze,low,4,746.8
34,maze,low,5,873.2
34,maze,low,6,1110
34,maze,low,7,851.8
34,maze,low,8,534.6
